stores,categories,obj,price,discount,event
GS25,생활용품,19)NAVIYA)콘돔돌출형3P,5500,5500,2+1
emart24,생활용품,2023김토끼)슬림티슈(휴대용),2500,2500,1+1
CU,생활용품,2080)더블액션초극세모,2000,2000,1+1
GS25,생활용품,2080)바이오유산균요거민트125G,3900,3900,1+1
emart24,생활용품,2080)바이오후레쉬요거민트치약125g,3900,3900,1+1
CU,생활용품,2080)센서티브미세모,3200,3200,1+1
CU,생활용품,2080)치약,4000,4000,1+1
emart24,생활용품,2080)치약오리지날125g,4000,4000,1+1
emart24,생활용품,2080)치약진지발리스오리지날125g,3900,3900,1+1
CU,생활용품,2080)칫솔,2800,2800,1+1
emart24,생활용품,2080)칫솔더블액션플러스,2000,2000,1+1
emart24,생활용품,2080)칫솔오리지날탄력모,2800,2800,1+1
emart24,생활용품,2080)키즈가글250ml딸기맛(브레드),5800,5800,1+1
emart24,생활용품,2080)키즈가글250ml바나나맛(브레드),5800,5800,1+1
emart24,생활용품,23SS)남성모달팬티(105),9900,9900,1+1
emart24,생활용품,23SS)베이직쿨목토시,5900,5900,1+1
emart24,생활용품,23SS)아쿠아엑스쿨토시블랙,7900,7900,1+1
emart24,생활용품,23SS)아쿠아엑스쿨토시손등형블랙,8900,8900,1+1
emart24,생활용품,23SS)아쿠아엑스쿨토시화이트,7900,7900,1+1
emart24,생활용품,23SS)여성모달팬티(90),8900,8900,1+1
emart24,생활용품,23SS)여성모달팬티(95),8900,8900,1+1
emart24,생활용품,23SS)쿨넥스카프,5900,5900,1+1
emart24,생활용품,23SS)쿨티셔츠,13500,13500,1+1
emart24,생활용품,23SS)패턴목쿨토시,8000,8000,1+1
MINISTOP,과자류,3드림)안흔한플리퍼즈15g,2500,2500,1+1
7-ELEVEn,과자류,3드림)안흔한플리퍼즈15g,2500,2500,1+1
CU,생활용품,46cm)초극세모칫솔,3500,3500,1+1
CU,생활용품,46cm)쿨민트치약,3900,3900,1+1
GS25,생활용품,AURA리필1.7L스모키머스크,12500,12500,1+1
GS25,생활용품,AURA리필1.7L윌유메리미,12500,12500,1+1
CU,과자류,BDNS)해피숙취해소젤리,2900,2900,2+1
GS25,음료,BR)레인보우샤베트제로350ML,1900,1900,1+1
GS25,음료,BR)애플민트제로350ML,1900,1900,1+1
emart24,과자류,BR)엄마는외계인초코볼32g,2000,2000,2+1
CU,식품,CJ)100%현미밥130g,2600,2600,1+1
7-ELEVEn,식품,CJ)강된장보리비빔밥(컵반),4800,4800,2+1
CU,식품,CJ)고기수제만두200g,4400,4400,2+1
GS25,식품,CJ)고메치킨고추크런치180G,5600,5600,2+1
GS25,식품,CJ)공화춘자장덮밥(컵밥),4800,4800,2+1
GS25,식품,CJ)공화춘짬뽕국밥(컵밥),4800,4800,2+1
7-ELEVEn,식품,CJ)구운풍미마늘후랑크80g,2500,2500,1+1
MINISTOP,식품,CJ)구운풍미마늘후랑크80g,2500,2500,1+1
MINISTOP,식품,CJ)구이한판60g,3300,3300,1+1
7-ELEVEn,식품,CJ)구이한판60g,3300,3300,1+1
GS25,식품,CJ)구이한판그릴스모크60G,3300,3300,1+1
CU,식품,CJ)구이한판그릴스모크60g,3300,3300,1+1
emart24,식품,CJ)구이한판스모크60g,3300,3300,1+1
CU,식품,CJ)국산콩두부부침용380g,5900,5900,1+1
CU,식품,CJ)국산콩두부찌개용380g,5900,5900,1+1
GS25,식품,CJ)국산콩부침두부380G,5900,5900,1+1
GS25,식품,CJ)국산콩찌개두부380G,5900,5900,1+1
GS25,식품,CJ)그레인보울병아리콩160G,4900,4900,2+1
GS25,식품,CJ)그레인보울할라피뇨160G,4900,4900,2+1
7-ELEVEn,식품,CJ)김치날치알밥(컵반),4800,4800,2+1
CU,식품,CJ)김치수제만두200g,4400,4400,2+1
CU,식품,CJ)낙지김치죽420g,5900,5900,2+1
7-ELEVEn,식품,CJ)낙지콩나물비빔밥(컵반),4800,4800,2+1
GS25,식품,CJ)누룽지닭다리삼계탕600G,13900,13900,1+1
CU,식품,CJ)다담된장찌개양념130g,3300,3300,2+1
CU,식품,CJ)다담떡볶이양념150g,3300,3300,2+1
CU,식품,CJ)다담순두부양념130g,3300,3300,2+1
GS25,식품,CJ)닭가슴살소시지(청양)80G,2900,2900,2+1
MINISTOP,식품,CJ)닭가슴살소시지(청양고추)80g,2800,2800,2+1
7-ELEVEn,식품,CJ)닭가슴살소시지(청양고추)80g,2900,2900,2+1
GS25,식품,CJ)닭가슴살소시지120G(2입),4500,4500,2+1
GS25,식품,CJ)닭가슴살소시지80G,2900,2900,2+1
7-ELEVEn,식품,CJ)닭가슴살소시지80g,2900,2900,2+1
MINISTOP,식품,CJ)닭가슴살소시지80g,2800,2800,2+1
CU,식품,CJ)닭가슴살소시지바80g,2900,2900,2+1
CU,식품,CJ)닭가슴살소시지청양80g,2900,2900,2+1
GS25,식품,CJ)닭가슴살스테이크100G,4500,4500,2+1
CU,식품,CJ)닭가슴살스테이크100g,4500,4500,2+1
MINISTOP,식품,CJ)닭가슴살스테이크100g,3900,3900,2+1
7-ELEVEn,식품,CJ)닭가슴살스테이크100g,4500,4500,2+1
emart24,식품,CJ)닭가슴살직화스테이크100g,4500,4500,2+1
emart24,식품,CJ)닭가슴살직화화다닭75g,4500,4500,2+1
CU,식품,CJ)도가니곰탕460g,9900,9900,2+1
7-ELEVEn,식품,CJ)둥근햇반210g,2100,2100,2+1
MINISTOP,식품,CJ)둥근햇반210g,2100,2100,2+1
CU,음료,CJ)마시는워터젤리복숭아,2000,2000,2+1
CU,음료,CJ)마시는워터젤리포도,2000,2000,2+1
GS25,식품,CJ)맛군밤60G,3900,3900,2+1
CU,식품,CJ)맛군밤60g,3900,3900,2+1
7-ELEVEn,식품,CJ)맛군밤60g,3900,3900,2+1
MINISTOP,식품,CJ)맛군밤60g,3900,3900,2+1
emart24,식품,CJ)맛군밤60g,3900,3900,2+1
GS25,식품,CJ)맛밤80G,3900,3900,2+1
CU,식품,CJ)맛밤80g,3900,3900,2+1
emart24,식품,CJ)맛밤80g,3900,3900,2+1
MINISTOP,식품,CJ)맛밤80g,3900,3900,2+1
7-ELEVEn,식품,CJ)맛밤80g,3900,3900,2+1
7-ELEVEn,식품,CJ)맥스봉50g,2200,2200,2+1
MINISTOP,식품,CJ)맥스봉50g,2000,2000,2+1
GS25,식품,CJ)맥스봉갈릭후랑크80G,2500,2500,2+1
emart24,식품,CJ)맥스봉구운마늘후랑크80g,2500,2500,2+1
CU,식품,CJ)맥스봉꼬치바청양90g,2500,2500,2+1
CU,식품,CJ)맥스봉마늘후랑크바80g,2500,2500,2+1
MINISTOP,식품,CJ)맥스봉빅소시지150g,3500,3500,1+1
emart24,식품,CJ)맥스봉빅소시지150g,3900,3900,1+1
7-ELEVEn,식품,CJ)맥스봉빅소시지150g,3900,3900,1+1
GS25,식품,CJ)맥스봉소시지150G,3900,3900,1+1
GS25,식품,CJ)맥스봉숯불구이맛핫바90G,2500,2500,2+1
MINISTOP,식품,CJ)맥스봉숯불구이맛핫바90g,2500,2500,2+1
7-ELEVEn,식품,CJ)맥스봉숯불구이맛핫바90g,2500,2500,2+1
emart24,식품,CJ)맥스봉숯불구이맛핫바90g,2500,2500,2+1
CU,식품,CJ)맥스봉숯불맛핫바90g,2500,2500,2+1
GS25,식품,CJ)맥스봉오리지널50G,2200,2200,1+1
CU,식품,CJ)맥스봉오리지널50g,2200,2200,1+1
emart24,식품,CJ)맥스봉오리지널50g,2200,2200,1+1
7-ELEVEn,식품,CJ)맥스봉오리지널50g,2200,2200,1+1
